Epoch,Discriminator Loss,Generator Loss
0,0.000043,-0.000087
1,0.000043,-0.000085
2,0.000036,-0.000083
3,0.000036,-0.000066
4,0.000033,-0.000082
5,0.000028,-0.000052
6,0.000025,-0.000045
7,0.000015,-0.000006
8,-0.000014,0.000030
9,-0.000031,0.000065
10,-0.000055,0.000108
11,-0.000083,0.000169
12,-0.000102,0.000218
13,-0.000128,0.000266
14,-0.000160,0.000326
15,-0.000184,0.000362
16,-0.000211,0.000437
17,-0.000230,0.000483
18,-0.000262,0.000534
19,-0.000283,0.000575
20,-0.000309,0.000624
21,-0.000338,0.000648
22,-0.000357,0.000714
23,-0.000378,0.000770
24,-0.000403,0.000809
25,-0.000420,0.000845
26,-0.000449,0.000887
27,-0.000476,0.000948
28,-0.000506,0.001011
29,-0.000536,0.001026
30,-0.000545,0.001066
31,-0.000552,0.001102
32,-0.000572,0.001145
33,-0.000604,0.001189
34,-0.000628,0.001238
35,-0.000640,0.001246
36,-0.000619,0.001265
37,-0.000670,0.001306
38,-0.000673,0.001361
39,-0.000684,0.001339
40,-0.000703,0.001386
41,-0.000719,0.001434
42,-0.000734,0.001411
43,-0.000732,0.001425
44,-0.000727,0.001450
45,-0.000748,0.001433
46,-0.000722,0.001436
47,-0.000742,0.001441
48,-0.000740,0.001357
49,-0.000700,0.001383
50,-0.000743,0.001377
51,-0.000728,0.001340
52,-0.000675,0.001316
53,-0.000675,0.001258
54,-0.000678,0.001233
55,-0.000675,0.001260
56,-0.000647,0.001180
57,-0.000582,0.001073
58,-0.000586,0.001007
59,-0.000555,0.000987
60,-0.000526,0.000955
61,-0.000505,0.000820
62,-0.000443,0.000776
63,-0.000403,0.000677
64,-0.000399,0.000602
65,-0.000399,0.000529
66,-0.000274,0.000408
67,-0.000201,0.000251
68,-0.000194,0.000200
69,-0.000158,0.000104
70,-0.000020,-0.000029
71,0.000006,-0.000130
72,0.000017,-0.000251
73,0.000132,-0.000391
74,0.000164,-0.000441
75,0.000158,-0.000516
76,0.000192,-0.000496
77,0.000233,-0.000599
78,0.000223,-0.000620
79,0.000270,-0.000677
80,0.000296,-0.000681
81,0.000341,-0.000717
82,0.000303,-0.000679
83,0.000276,-0.000628
84,0.000321,-0.000680
85,0.000307,-0.000655
86,0.000278,-0.000615
87,0.000251,-0.000575
88,0.000262,-0.000578
89,0.000236,-0.000535
90,0.000223,-0.000504
91,0.000239,-0.000491
92,0.000221,-0.000452
93,0.000216,-0.000433
94,0.000187,-0.000375
95,0.000174,-0.000364
96,0.000165,-0.000341
97,0.000157,-0.000308
98,0.000136,-0.000284
99,0.000135,-0.000271
100,0.000111,-0.000227
101,0.000107,-0.000211
102,0.000095,-0.000187
103,0.000083,-0.000171
104,0.000072,-0.000150
105,0.000064,-0.000127
106,0.000055,-0.000111
107,0.000045,-0.000086
108,0.000036,-0.000071
109,0.000029,-0.000057
110,0.000022,-0.000041
111,0.000016,-0.000027
112,0.000009,-0.000013
113,0.000001,0.000002
114,-0.000007,0.000019
115,-0.000012,0.000033
116,-0.000019,0.000045
117,-0.000030,0.000070
118,-0.000036,0.000088
119,-0.000046,0.000108
120,-0.000058,0.000125
121,-0.000067,0.000149
122,-0.000069,0.000161
123,-0.000070,0.000180
124,-0.000090,0.000196
125,-0.000094,0.000210
126,-0.000097,0.000215
127,-0.000094,0.000225
128,-0.000096,0.000238
129,-0.000104,0.000226
130,-0.000098,0.000228
131,-0.000102,0.000214
132,-0.000080,0.000174
133,-0.000058,0.000162
134,-0.000056,0.000133
135,-0.000023,0.000081
136,0.000000,0.000037
137,0.000010,0.000008
138,0.000020,-0.000019
139,0.000044,-0.000051
140,0.000039,-0.000065
141,0.000056,-0.000098
142,0.000070,-0.000110
143,0.000055,-0.000105
144,0.000063,-0.000108
145,0.000062,-0.000107
146,0.000049,-0.000098
147,0.000050,-0.000099
148,0.000045,-0.000085
149,0.000040,-0.000082
150,0.000037,-0.000080
151,0.000035,-0.000072
152,0.000032,-0.000063
153,0.000026,-0.000053
154,0.000020,-0.000045
155,0.000016,-0.000037
156,0.000012,-0.000030
157,0.000007,-0.000023
158,0.000003,-0.000015
159,-0.000003,-0.000004
160,-0.000008,0.000004
161,-0.000011,0.000013
162,-0.000014,0.000016
163,-0.000019,0.000022
164,-0.000021,0.000027
165,-0.000022,0.000026
166,-0.000018,0.000019
167,-0.000013,0.000002
168,-0.000004,-0.000006
169,0.000001,-0.000019
170,0.000009,-0.000033
171,0.000013,-0.000062
172,0.000028,-0.000081
173,0.000032,-0.000077
174,0.000035,-0.000090
175,0.000040,-0.000100
176,0.000035,-0.000097
177,0.000043,-0.000097
178,0.000039,-0.000095
179,0.000039,-0.000088
180,0.000034,-0.000080
181,0.000031,-0.000072
182,0.000028,-0.000062
183,0.000023,-0.000056
184,0.000020,-0.000046
185,0.000015,-0.000034
186,0.000010,-0.000027
187,0.000006,-0.000015
188,0.000002,-0.000010
189,-0.000003,0.000003
190,-0.000007,0.000010
191,-0.000010,0.000016
192,-0.000008,0.000015
193,-0.000013,0.000022
194,-0.000006,0.000014
195,-0.000010,0.000012
196,-0.000004,0.000003
197,0.000007,-0.000015
198,0.000004,-0.000006
199,0.000014,-0.000033
200,0.000021,-0.000039
201,0.000026,-0.000050
202,0.000026,-0.000056
203,0.000022,-0.000053
204,0.000023,-0.000052
205,0.000021,-0.000048
206,0.000019,-0.000042
207,0.000014,-0.000036
208,0.000010,-0.000030
209,0.000008,-0.000028
210,0.000004,-0.000021
211,0.000003,-0.000019
212,0.000001,-0.000015
213,0.000001,-0.000018
214,0.000005,-0.000022
215,-0.000000,-0.000025
216,0.000007,-0.000036
217,0.000012,-0.000045
218,0.000017,-0.000050
219,0.000021,-0.000054
220,0.000019,-0.000054
221,0.000022,-0.000055
