Epoch,Discriminator Loss,Generator Loss
0,0.000992,-0.002269
1,0.004183,-0.003881
2,0.011038,-0.010478
3,-0.106620,0.352194
4,-0.170291,0.469816
5,0.030136,-0.041948
6,-0.484465,1.089784
7,0.019768,-0.032022
8,0.017463,-0.026331
9,0.011532,-0.015268
10,0.001929,-0.003554
11,0.001196,-0.002204
12,0.000424,-0.001016
13,0.000662,-0.000880
14,-0.019533,0.071593
15,0.002255,-0.006270
16,0.000822,-0.002663
17,0.000734,-0.000241
18,-0.000028,0.000396
19,0.000830,-0.001605
20,0.000817,-0.001202
21,0.000684,-0.001398
22,0.000490,-0.001276
23,0.000498,-0.001293
24,0.000485,0.004554
25,0.000368,0.001928
26,0.000509,-0.001363
27,0.000527,-0.001338
28,0.000636,-0.001515
29,0.000522,-0.001395
30,0.000498,-0.001332
31,0.000525,-0.001393
32,0.000574,-0.001382
33,0.000517,-0.001405
34,0.000513,-0.001374
35,0.000507,-0.001304
36,-0.000864,0.019518
37,0.000497,-0.001484
38,0.001932,-0.002179
39,0.000775,-0.001554
40,0.000534,-0.001205
41,0.000480,-0.000971
42,0.000415,0.002013
43,0.000945,-0.001445
44,0.000835,-0.001353
45,0.000321,0.001465
46,0.000537,-0.001394
47,0.000556,-0.001233
48,0.000827,-0.001265
49,0.000557,-0.001391
50,0.000564,-0.001392
51,0.000539,-0.001394
52,0.000672,-0.001235
53,0.000510,-0.001274
54,0.000502,-0.001269
55,0.000634,-0.001338
56,0.000603,-0.001234
57,0.000506,-0.001329
58,0.000529,-0.001391
59,0.000513,-0.001396
60,0.000525,-0.001298
61,0.000990,-0.000857
62,0.000507,-0.001375
63,0.000525,-0.001391
64,0.000684,-0.000916
65,0.000487,-0.001256
66,0.000665,-0.001176
67,0.000516,-0.001364
68,0.000504,-0.001394
69,0.000546,-0.001396
70,0.000547,-0.001386
71,0.000579,-0.001398
72,0.001382,-0.000751
73,0.000501,-0.001387
74,0.000542,-0.000812
75,0.000521,-0.001392
76,0.000539,-0.001387
77,0.000548,-0.001362
78,0.000514,-0.001393
79,0.000602,-0.001338
80,0.000568,-0.001388
81,0.000501,-0.001392
82,0.000583,-0.001387
83,0.000558,-0.001409
84,0.000556,-0.001241
85,0.000560,-0.001352
86,0.000530,-0.001371
87,0.000546,-0.001372
88,0.000589,-0.001351
89,0.000696,-0.001387
90,0.000531,-0.001395
91,0.000521,-0.001377
92,0.000631,-0.001442
93,0.000609,-0.001394
94,0.000506,-0.001391
95,0.000628,-0.001307
96,0.000632,-0.001214
97,0.000576,-0.001395
98,0.000514,-0.001394
99,0.000580,-0.001392
